CRS,municipio
1ª CRS,Alvorada
1ª CRS,Araricá
1ª CRS,Arambaré
1ª CRS,Arroio dos Ratos
1ª CRS,Barão
1ª CRS,Barão do Triunfo
1ª CRS,Barra do Ribeiro
1ª CRS,Brochier
1ª CRS,Butiá
1ª CRS,Cachoeirinha
1ª CRS,Camaquã
1ª CRS,Cambará do Sul
1ª CRS,Campo Bom
1ª CRS,Canoas
1ª CRS,Capela de Santana
1ª CRS,Cerro Grande do Sul
1ª CRS,Charqueadas
1ª CRS,Chuvisca
1ª CRS,Dois Irmãos
1ª CRS,Dom Feliciano
1ª CRS,Eldorado do Sul
1ª CRS,Estância Velha
1ª CRS,Esteio
1ª CRS,General Câmara
1ª CRS,Glorinha
1ª CRS,Gravataí
1ª CRS,Guaíba
1ª CRS,Harmonia
1ª CRS,Igrejinha
1ª CRS,Ivoti
1ª CRS,Lindolfo Collor
1ª CRS,Maratá
1ª CRS,Mariana Pimentel
1ª CRS,Minas do Leão
1ª CRS,Montenegro
1ª CRS,Morro Reuter
1ª CRS,Nova Hartz
1ª CRS,Nova Santa Rita
1ª CRS,Novo Hamburgo
1ª CRS,Pareci Novo
1ª CRS,Parobé
1ª CRS,Portão
1ª CRS,Porto Alegre
1ª CRS,Presidente Lucena
1ª CRS,Riozinho
1ª CRS,Rolante
1ª CRS,Salvador do Sul
1ª CRS,Santa Maria do Herval
1ª CRS,São Francisco de Paula
1ª CRS,São Jerônimo
1ª CRS,São José do Hortêncio
1ª CRS,São José do Sul
1ª CRS,São Leopoldo
1ª CRS,São Pedro da Serra
1ª CRS,São Sebastião do Caí
1ª CRS,Sapiranga
1ª CRS,Sapucaia do Sul
1ª CRS,Sentinela do Sul
1ª CRS,Sertão Santana
1ª CRS,Tabaí
1ª CRS,Tapes
1ª CRS,Taquara
1ª CRS,Três Coroas
1ª CRS,Triunfo
1ª CRS,Tupandi
1ª CRS,Viamão
2ª CRS,Alpestre
2ª CRS,Ametista do Sul
2ª CRS,Barra do Guarita
2ª CRS,Bom Progresso
2ª CRS,Caiçara
2ª CRS,Cristal do Sul
2ª CRS,Derrubadas
2ª CRS,Erval Seco
2ª CRS,Esperança do Sul
2ª CRS,Frederico Westphalen
2ª CRS,Iraí
2ª CRS,Liberato Salzano
2ª CRS,Novo Tiradentes
2ª CRS,Palmitinho
2ª CRS,Pinhal
2ª CRS,Pinheirinho do Vale
2ª CRS,Planalto
2ª CRS,Rodeio Bonito
2ª CRS,Seberi
2ª CRS,Taquaruçu do Sul
2ª CRS,Tenente Portela
2ª CRS,Tiradentes do Sul
2ª CRS,Três Passos
2ª CRS,Vicente Dutra
2ª CRS,Vista Alegre
2ª CRS,Vista Gaúcha
3ª CRS,Amaral Ferrador
3ª CRS,Arroio do Padre
3ª CRS,Arroio Grande
3ª CRS,Canguçu
3ª CRS,Capão do Leão
3ª CRS,Cerrito
3ª CRS,Chuí
3ª CRS,Cristal
3ª CRS,Herval
3ª CRS,Jaguarão
3ª CRS,Morro Redondo
3ª CRS,Pedras Altas
3ª CRS,Pedro Osório
3ª CRS,Pelotas
3ª CRS,Pinheiro Machado
3ª CRS,Piratini
3ª CRS,Rio Grande
3ª CRS,Santa Vitória do Palmar
3ª CRS,Santana da Boa Vista
3ª CRS,São José do Norte
3ª CRS,São Lourenço do Sul
3ª CRS,Turuçu
4ª CRS,Agudo
4ª CRS,Cacequi
4ª CRS,Capão do Cipó
4ª CRS,Dilermando de Aguiar
4ª CRS,Dona Francisca
4ª CRS,Faxinal do Soturno
4ª CRS,Formigueiro
4ª CRS,Itaara
4ª CRS,Itacurubi
4ª CRS,Ivorá
4ª CRS,Jaguari
4ª CRS,Jari
4ª CRS,Júlio de Castilhos
4ª CRS,Mata
4ª CRS,Nova Esperança do Sul
4ª CRS,Nova Palma
4ª CRS,Paraíso do Sul
4ª CRS,Pinhal Grande
4ª CRS,Quevedos
4ª CRS,Restinga Seca
4ª CRS,Santa Maria
4ª CRS,Santiago
4ª CRS,São Francisco de Assis
4ª CRS,São João do Polêsine
4ª CRS,São Martinho da Serra
4ª CRS,São Pedro do Sul
4ª CRS,São Sepé
4ª CRS,São Vicente do Sul
4ª CRS,Silveira Martins
4ª CRS,Toropi
4ª CRS,Unistalda
4ª CRS,Vila Nova do Sul
5ª CRS,Alto Feliz
5ª CRS,Antônio Prado
5ª CRS,Bento Gonçalves
5ª CRS,Boa Vista do Sul
5ª CRS,Bom Jesus
5ª CRS,Bom Princípio
5ª CRS,Campestre da Serra
5ª CRS,Canela
5ª CRS,Carlos Barbosa
5ª CRS,Caxias do Sul
5ª CRS,Coronel Pilar
5ª CRS,Cotiporã
5ª CRS,Esmeralda
5ª CRS,Fagundes Varela
5ª CRS,Farroupilha
5ª CRS,Feliz
5ª CRS,Flores da Cunha
5ª CRS,Garibaldi
5ª CRS,Gramado
5ª CRS,Guabiju
5ª CRS,Guaporé
5ª CRS,Ipê
5ª CRS,Jaquirana
5ª CRS,Linha Nova
5ª CRS,Monte Alegre dos Campos
5ª CRS,Monte Belo do Sul
5ª CRS,Muitos Capões
5ª CRS,Nova Araçá
5ª CRS,Nova Bassano
5ª CRS,Nova Pádua
5ª CRS,Nova Petrópolis
5ª CRS,Nova Prata
5ª CRS,Nova Roma do Sul
5ª CRS,Paraí
5ª CRS,Picada Café
5ª CRS,Pinhal da Serra
5ª CRS,Pinto Bandeira
5ª CRS,Protásio Alves
5ª CRS,Santa Tereza
5ª CRS,São Jorge
5ª CRS,São José dos Ausentes
5ª CRS,São Marcos
5ª CRS,São Vendelino
5ª CRS,União da Serra
5ª CRS,Vacaria
5ª CRS,Vale Real
5ª CRS,Veranópolis
5ª CRS,Vila Flores
5ª CRS,Vista Alegre do Prata
6ª CRS,Água Santa
6ª CRS,Almirante Tamandaré do Sul
