cod_ibge,lat,long,UF,municipy_name,year,number_cases,population,case_1000_hab
110037,-12.12,-61.85,RO,Alto Alegre dos Parecis,2006,33,15454,2.13536948362883
110040,-9.71,-63.32,RO,Alto Paraíso,2005,1,15993,0.0625273557181267
110040,-9.71,-63.32,RO,Alto Paraíso,2005,1,3449,0.289939112786315
110040,-9.71,-63.32,RO,Alto Paraíso,2006,30,16510,1.81708055723804
110040,-9.71,-63.32,RO,Alto Paraíso,2006,30,3389,8.85216878135143
110002,-9.91,-63.04,RO,Ariquemes,2005,1,85031,0.011760416789171
110002,-9.91,-63.04,RO,Ariquemes,2006,94,86924,1.08140444526253
110045,-10.21,-63.82,RO,Buritis,2005,2,40120,0.0498504486540379
110045,-10.21,-63.82,RO,Buritis,2005,2,21636,0.0924385283786282
110045,-10.21,-63.82,RO,Buritis,2006,1,42717,0.0234098836528782
110045,-10.21,-63.82,RO,Buritis,2006,1,21859,0.045747746923464
110003,-13.49,-60.54,RO,Cabixi,2006,6,7421,0.808516372456542
110004,-11.43,-61.44,RO,Cacoal,2005,9,75988,0.118439753645312
110004,-11.43,-61.44,RO,Cacoal,2006,212,76422,2.77407029389443
110080,-8.79,-63.7,RO,Candeias do Jamari,2003,1,14874,0.0672314105149926
110080,-8.79,-63.7,RO,Candeias do Jamari,2005,3,16700,0.179640718562874
110080,-8.79,-63.7,RO,Candeias do Jamari,2006,28,17346,1.61420500403551
110090,-11.42,-61.95,RO,Castanheiras,2005,2,4110,0.48661800486618
110090,-11.42,-61.95,RO,Castanheiras,2006,40,4092,9.77517106549365
110005,-13.18,-60.81,RO,Cerejeiras,2006,9,17215,0.522799883822248
110092,-12.55,-60.9,RO,Chupinguaia,2006,6,6649,0.902391337043164
110006,-13.11,-60.54,RO,Colorado do Oeste,2006,6,18342,0.327118089630357
110007,-12.96,-60.88,RO,Corumbiara,2006,2,9409,0.212562440216814
110008,-12.44,-64.22,RO,Costa Marques,2006,1,11735,0.0852151682999574
110010,-10.78,-65.33,RO,Guajará-Mirim,2005,2,41467,0.048231123544023
110010,-10.78,-65.33,RO,Guajará-Mirim,2006,31,42082,0.736657002994154
110110,-9.2,-63.18,RO,Itapuã do Oeste,2005,2,8413,0.237727326756211
110110,-9.2,-63.18,RO,Itapuã do Oeste,2006,18,8699,2.06920335670767
110011,-10.43,-62.46,RO,Jaru,2005,2,55840,0.0358166189111748
110011,-10.43,-62.46,RO,Jaru,2006,105,56242,1.86693218591089
110012,-10.88,-61.94,RO,Ji-Paraná,2003,1,109573,0.00912633586741259
110012,-10.88,-61.94,RO,Ji-Paraná,2005,31,112439,0.27570504895988
110012,-10.88,-61.94,RO,Ji-Paraná,2006,726,113453,6.39912562911514
110120,-11.19,-61.51,RO,Ministro Andreazza,2006,1,11223,0.0891027354539784
110130,-11.02,-62.67,RO,Mirante da Serra,2006,18,14152,1.27190503109101
110050,-11.71,-62,RO,Novo Horizonte do Oeste,2003,1,12543,0.0797257434425576
110050,-11.71,-62,RO,Novo Horizonte do Oeste,2006,19,12916,1.4710436667699
110015,-10.71,-62.24,RO,Ouro Preto do Oeste,2005,1,40757,0.0245356625855681
110015,-10.71,-62.24,RO,Ouro Preto do Oeste,2006,77,40735,1.89026635571376
